months_as_customer,age,policy_number,policy_bind_date,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,postcode.2,region.1,total_crimes_nearby.1,vehicle_crimes_nearby.1,rainfall_mm.1,max_windspeed_kmh.1,max_temp_c.1,postcode,region,claim_date,total_crimes_nearby,vehicle_crimes_nearby,rainfall_mm,max_windspeed_kmh,max_temp_c
298,45,491392,1992-07-03,500/1000,1000,1362.29,0,MALE,High School,farming-fishing,yachting,unmarried,0,-51100,2015-02-27,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,3,NO,0,0,NO,64000,12800,6400,44800,Saab,95,1999,N,,,,,,,,DT6 6SG,South West,2024-02-27,0.0,0.0,,,
276,46,140880,2005-03-29,250/500,500,1448.84,0,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband,0,-50000,2015-02-21,Parked Car,?,Trivial Damage,Police,7,1,?,0,1,NO,5940,660,660,4620,Toyota,Highlander,2015,N,,,,,,,,M24 2GB,North West,2024-02-21,0.0,0.0,10.9,34.6,11.8
47,37,962591,2008-03-16,250/500,2000,1241.97,0,MALE,High School,other-service,movies,not-in-family,75400,0,2015-01-05,Parked Car,?,Minor Damage,,18,1,NO,1,0,NO,6700,670,670,5360,Jeep,Wrangler,2011,N,,,,,,,,NE9 7EY,North East,2024-01-05,130.0,5.0,2.2,9.7,6.2
222,42,922565,1999-05-23,250/500,500,1124.6,0,MALE,Associate,armed-forces,hiking,not-in-family,0,0,2015-01-30,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,0,0,?,51740,11940,7960,31840,Jeep,Wrangler,2006,N,,,,,,,,M24 2GB,North West,2024-01-30,0.0,0.0,1.2,16.8,10.7
119,28,288580,2012-11-22,250/500,2000,1079.92,0,MALE,High School,machine-op-inspct,hiking,husband,88800,0,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,?,0,1,YES,53600,6700,6700,40200,Volkswagen,Jetta,2007,Y,CF10 1AA,,,,0.1,24.2,7.4,ML9 2SA,,2024-02-26,1.0,0.0,0.0,10.9,6.5
73,29,154280,1993-01-29,250/500,1000,1447.78,0,MALE,College,protective-serv,board-games,wife,35100,-59900,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,1,0,?,44910,4990,4990,34930,Dodge,Neon,2001,N,OX1 1AA,South East,363.0,6.0,0.0,21.4,4.7,ML9 2SA,,2023-01-10,,,13.4,37.2,10.8
8,31,425973,2003-02-11,250/500,500,1229.16,4000000,FEMALE,MD,transport-moving,kayaking,wife,0,-88300,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,?,0,2,YES,48100,11100,7400,29600,Volkswagen,Jetta,2014,N,,,,,,,,NR18 9AN,East of England,2024-02-23,32.0,3.0,0.8,24.9,8.7
294,44,477177,1990-08-15,100/300,1000,1226.49,0,FEMALE,PhD,farming-fishing,kayaking,unmarried,53900,0,2015-02-05,Vehicle Theft,?,Trivial Damage,,3,1,NO,0,1,NO,6100,610,1220,4270,Ford,Fusion,2002,N,S1 1AA,Yorkshire and The Humber,1104.0,75.0,0.0,33.0,11.1,LU7 2QH,East of England,2023-02-05,,,0.0,16.9,7.8
324,46,648509,2010-03-06,100/300,2000,897.89,6000000,MALE,MD,tech-support,board-games,wife,0,-41300,2015-01-21,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,?,1,0,YES,79600,15920,15920,47760,Jeep,Wrangler,2011,N,CF10 1AA,,1223.0,92.0,18.8,46.4,12.4,BT63 5JA,,2024-01-21,119.0,2.0,7.9,50.5,12.4
155,34,914815,1990-09-27,100/300,500,1706.79,0,MALE,Masters,protective-serv,dancing,other-relative,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,1,1,NO,1,1,YES,77040,8560,8560,59920,Honda,Civic,1998,N,YO61 1AA,Yorkshire and The Humber,1.0,0.0,0.0,7.9,4.2,ML9 2SA,,2023-01-07,,,17.1,29.2,8.9
261,45,249048,2005-06-17,250/500,1000,1254.18,0,FEMALE,PhD,prof-specialty,kayaking,other-relative,0,-45100,2015-01-11,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,YES,0,1,?,62590,11380,11380,39830,Volkswagen,Jetta,2003,N,SW1A 1AA,London,4960.0,187.0,0.0,24.0,5.5,BT63 5JA,,2023-01-11,,,4.8,28.5,7.1
245,40,144323,2001-09-14,500/1000,500,885.08,0,FEMALE,Masters,armed-forces,skydiving,other-relative,27000,-58900,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,YES,0,1,NO,85150,13100,13100,58950,Chevrolet,Malibu,1998,N,,,,,,,,DT6 6SG,South West,2023-02-06,,,0.0,12.6,8.1
235,39,651861,2011-01-07,100/300,500,1046.58,4000000,MALE,MD,tech-support,exercise,wife,0,-31700,2015-01-24,Vehicle Theft,?,Trivial Damage,,1,1,?,2,1,NO,4950,450,900,3600,Chevrolet,Silverado,2010,N,,,,,,,,LA14 5DF,North West,2024-01-24,310.0,12.0,0.1,55.1,9.5
53,36,125324,2003-09-13,500/1000,2000,1712.68,0,MALE,Associate,handlers-cleaners,basketball,not-in-family,72200,0,2015-02-18,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,?,2,0,YES,51100,10220,5110,35770,Audi,A3,2006,N,,,,,,,,ML9 2SA,,2023-02-18,,,20.6,33.5,8.9
426,54,398102,1997-10-24,500/1000,2000,1097.71,0,FEMALE,Masters,adm-clerical,reading,not-in-family,29600,-22300,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,2,3,?,100800,16800,16800,67200,Dodge,Neon,1997,N,,,,,,,,BT56 8FW,,2023-01-12,,,11.3,43.5,8.2
111,27,514065,2009-01-04,250/500,500,1363.77,4000000,FEMALE,Masters,tech-support,exercise,husband,51100,0,2015-01-17,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,YES,2,3,NO,90970,16540,16540,57890,Accura,RSX,2009,N,,,,,,,,NE9 7EY,North East,2024-01-17,130.0,5.0,0.0,15.2,0.1
86,26,391652,1998-10-12,100/300,500,1382.88,7000000,MALE,JD,tech-support,cross-fit,other-relative,0,-30300,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,?,1,1,YES,81840,14880,7440,59520,Chevrolet,Malibu,2011,Y,M1 1AE,North West,,,14.4,35.5,11.4,RM12 4BG,London,2024-01-12,459.0,47.0,0.0,15.9,6.9
296,46,922167,1993-02-23,100/300,1000,1141.35,7000000,MALE,Masters,craft-repair,sleeping,not-in-family,0,0,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,?,0,2,NO,54900,5490,5490,43920,Mercedes,C300,2013,N,,,,,,,,ME9 8WL,South East,2023-01-06,,,2.2,33.9,11.6
125,35,442795,1996-07-07,500/1000,500,1054.83,7000000,MALE,JD,tech-support,cross-fit,husband,0,-51300,2015-02-25,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,2,3,NO,88660,8060,16120,64480,Mercedes,C300,2007,Y,CF10 1AA,,,,0.0,25.1,6.8,TA6 4ET,South West,2024-02-25,162.0,3.0,11.9,32.3,8.6
177,34,226330,2013-01-23,100/300,2000,1057.77,0,FEMALE,JD,tech-support,bungie-jumping,unmarried,0,-57700,2015-02-16,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,?,1,1,NO,18000,2250,2250,13500,Audi,A3,2009,N,SW1A 1AA,London,5183.0,187.0,2.0,23.8,12.9,ML9 2SA,,2024-02-16,1.0,0.0,0.1,11.6,9.9
238,39,134430,2006-12-06,250/500,2000,1488.02,0,FEMALE,JD,protective-serv,exercise,other-relative,0,-39200,2015-02-25,Vehicle Theft,?,Minor Damage,Police,9,1,YES,1,3,YES,5500,1100,550,3850,Chevrolet,Tahoe,2010,N,,,,,,,,PL13 1ET,South West,2024-02-25,29.0,0.0,35.1,40.4,8.7
81,25,524230,2014-02-23,100/300,500,920.3,5000000,FEMALE,High School,tech-support,hiking,own-child,51000,-67900,2015-02-21,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,3,?,1,0,?,73920,13440,6720,53760,Honda,Civic,2003,Y,,,,,,,,SN11 8UB,South West,2024-02-21,27.0,1.0,13.1,35.3,11.7
128,28,438817,2007-11-16,500/1000,1000,986.53,0,FEMALE,High School,adm-clerical,polo,other-relative,62700,0,2015-02-16,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,NO,0,2,YES,101860,18520,18520,64820,Honda,CRV,2007,N,,,,,,,,DT6 6SG,South West,2024-02-16,0.0,0.0,1.4,23.7,12.4
449,57,293794,1999-04-17,250/500,2000,1440.68,0,MALE,Associate,tech-support,movies,own-child,25000,0,2015-02-09,Parked Car,?,Minor Damage,,8,1,YES,0,1,YES,5390,980,980,3430,Volkswagen,Passat,2008,N,CF10 1AA,,,,0.0,10.8,9.2,ME9 8WL,South East,2023-02-09,,,0.0,13.0,8.4
252,39,868283,2006-02-06,250/500,1000,1086.21,0,MALE,JD,farming-fishing,hiking,unmarried,68500,-57500,2015-02-13,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,?,1,2,?,50490,5610,5610,39270,Nissan,Maxima,2001,N,,,,,,,,NG34 8NE,East Midlands,2024-02-13,6.0,0.0,3.2,25.5,10.2
359,47,828890,1993-10-20,100/300,2000,1367.68,0,FEMALE,MD,handlers-cleaners,basketball,unmarried,0,0,2015-01-11,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,NO,0,3,NO,55500,5550,11100,38850,Mercedes,C300,2012,N,BN1 1AA,South East,,,1.5,43.8,11.5,M24 2GB,North West,2023-01-11,,,16.1,30.2,8.5
19,32,882920,2006-01-01,500/1000,1000,1215.85,0,MALE,High School,other-service,hiking,husband,42900,-90200,2015-01-02,Vehicle Theft,?,Minor Damage,Police,8,1,YES,1,1,YES,7040,1280,640,5120,Nissan,Maxima,2015,N,,,,,,,,LL30 3PD,,2024-01-02,28.0,0.0,14.2,26.5,10.9
73,26,918777,2003-04-04,250/500,2000,1191.19,4000000,MALE,MD,farming-fishing,basketball,not-in-family,29300,0,2015-02-12,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,3,?,0,1,YES,40160,5020,0,35140,Chevrolet,Tahoe,2003,N,NG1 1AA,East Midlands,,,0.0,11.9,9.0,SN11 8UB,South West,2024-02-12,27.0,1.0,0.6,20.1,7.8
285,44,212580,2014-07-05,500/1000,1000,1594.45,0,MALE,High School,handlers-cleaners,bungie-jumping,husband,0,0,2015-02-05,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,YES,2,3,NO,55680,6960,6960,41760,Saab,95,2006,N,,,,,,,,PL13 1ET,South West,2024-02-05,29.0,0.0,0.2,31.4,11.7
196,36,602410,1996-01-16,250/500,2000,1463.07,0,MALE,MD,armed-forces,skydiving,own-child,0,0,2015-01-24,Vehicle Theft,?,Trivial Damage,Police,3,1,?,1,1,NO,5300,530,530,4240,Jeep,Grand Cherokee,2001,Y,OX1 1AA,South East,,,0.0,5.7,3.7,NR18 9AN,East of England,2024-01-24,54.0,3.0,0.0,45.6,13.3
223,43,976971,2002-04-19,250/500,500,1734.09,0,FEMALE,MD,adm-clerical,camping,not-in-family,0,0,2015-01-12,Parked Car,?,Trivial Damage,,6,1,YES,0,3,?,5200,650,650,3900,Accura,MDX,2006,N,SW1A 1AA,London,,,5.7,40.7,12.1,LL30 3PD,,2023-01-12,,,5.6,37.7,11.8
328,48,630226,2005-12-10,250/500,500,1411.43,0,MALE,Masters,armed-forces,bungie-jumping,own-child,45100,-32800,2015-01-16,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,1,YES,2,1,NO,59400,5940,11880,41580,Honda,Civic,2014,N,,,,,,,,PO19 6EU,South East,2024-01-16,254.0,3.0,0.0,12.0,3.4
285,43,171254,1994-11-07,100/300,2000,1512.58,0,FEMALE,College,sales,paintball,other-relative,47600,0,2015-01-13,Vehicle Theft,?,Minor Damage,Police,7,1,?,1,1,?,2520,280,280,1960,BMW,3 Series,1997,N,NG1 1AA,East Midlands,1431.0,58.0,0.0,12.8,7.0,ML9 2SA,,2023-01-13,,,1.5,28.2,6.2
30,31,247116,2012-06-02,250/500,2000,1153.35,0,MALE,PhD,craft-repair,golf,not-in-family,0,0,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,9,1,NO,2,1,YES,5760,960,960,3840,Suburu,Impreza,2011,N,,,,,,,,EX8 5DT,South West,2024-02-02,19.0,2.0,0.1,22.1,12.2
342,49,505969,1998-04-07,250/500,500,1722.95,0,MALE,PhD,transport-moving,base-jumping,not-in-family,63100,-13800,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,?,2,0,YES,76700,7670,7670,61360,Suburu,Legacy,2006,N,NG1 1AA,East Midlands,1359.0,24.0,1.8,25.3,10.2,DE56 2JB,East Midlands,2023-02-28,,,0.7,23.7,6.8
219,39,653864,2007-04-25,250/500,2000,1281.07,7000000,FEMALE,High School,protective-serv,board-games,unmarried,0,0,2015-01-18,Parked Car,?,Trivial Damage,Police,6,1,NO,0,2,NO,5920,740,740,4440,Chevrolet,Malibu,2015,N,M1 1AE,North West,,,1.6,14.5,5.3,G11 5HD,,2024-01-18,2.0,0.0,0.0,14.4,0.4
468,62,586367,2000-06-30,100/300,500,1011.92,0,MALE,PhD,machine-op-inspct,paintball,wife,0,0,2015-02-15,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,YES,0,3,?,64350,7150,7150,50050,Chevrolet,Tahoe,2009,N,SW1A 1AA,London,,,0.0,19.3,12.9,NG34 8NE,East Midlands,2023-02-15,,,0.0,22.2,12.8
241,39,896890,1996-06-04,250/500,2000,1042.26,0,MALE,JD,sales,kayaking,husband,0,0,2015-01-31,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,2,?,19080,4240,2120,12720,Saab,93,1995,N,,,,,,,,LL30 3PD,,2024-01-31,28.0,0.0,5.1,38.0,10.6
223,43,650026,2009-05-09,500/1000,500,1235.1,0,FEMALE,Masters,tech-support,exercise,not-in-family,66400,-34400,2015-02-10,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,NO,54400,5440,5440,43520,BMW,M5,2011,N,,,,,,,,IM4 7JQ,,2023-02-10,,,,,
128,32,547744,2001-07-08,100/300,2000,768.91,0,FEMALE,College,sales,chess,other-relative,0,-39300,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Fire,0,1,?,1,0,NO,59800,5980,5980,47840,Ford,F150,1999,Y,,,,,,,,KT22 9AD,South East,2023-02-26,,,0.0,26.7,6.8
124,29,598124,1993-09-20,500/1000,500,1301.72,0,MALE,Masters,handlers-cleaners,golf,husband,0,0,2015-02-25,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,?,0,3,YES,72000,7200,7200,57600,Audi,A3,2005,N,,,,,,,,KT22 9AD,South East,2023-02-25,,,0.2,27.0,6.5
343,48,436126,2009-11-03,250/500,500,1451.54,3000000,MALE,JD,adm-clerical,hiking,husband,0,0,2015-01-08,Multi-vehicle Collision,Side Collision,Total Loss,Police,13,4,NO,2,3,NO,65070,7230,14460,43380,Mercedes,C300,2003,N,,,,,,,,RM12 4BG,London,2024-01-08,459.0,47.0,1.1,23.4,3.1
404,53,739447,2014-12-10,250/500,500,767.14,0,MALE,Associate,sales,reading,not-in-family,25500,-36700,2015-01-14,Parked Car,?,Trivial Damage,Police,8,1,NO,0,1,NO,8800,1760,880,6160,Suburu,Legacy,2002,N,,,,,,,,G61 3LF,,2023-01-14,,,22.3,35.6,7.4
63,24,427484,1994-01-08,250/500,2000,1620.89,0,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0,2015-02-03,Vehicle Theft,?,Minor Damage,Police,7,1,NO,2,0,NO,6120,1020,1020,4080,Toyota,Corolla,2015,N,NR35 1AA,East of England,40.0,1.0,1.0,28.5,12.8,TA6 4ET,South West,2023-02-03,,,0.2,23.9,11.2
210,37,218684,2006-08-05,500/1000,2000,1048.46,0,MALE,High School,priv-house-serv,skydiving,not-in-family,59900,0,2015-01-05,Vehicle Theft,?,Trivial Damage,,9,1,?,1,2,?,7080,1180,590,5310,Dodge,RAM,1999,N,,,,,,,,WR11 3JT,West Midlands,2024-01-05,133.0,5.0,0.1,17.2,7.4
335,50,565564,2007-02-07,100/300,1000,1538.26,6000000,MALE,High School,sales,yachting,other-relative,62200,-31400,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,3,YES,2,3,YES,34320,8580,4290,21450,Volkswagen,Passat,2009,N,,,,,,,,NR18 9AN,East of England,2023-01-24,,,0.0,8.6,2.9
11,40,743163,2001-04-09,500/1000,2000,1217.69,0,FEMALE,MD,prof-specialty,reading,wife,24000,0,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,?,1,0,?,53460,9720,9720,34020,Dodge,Neon,2004,Y,GL54 1AA,South West,9.0,1.0,0.9,38.6,11.6,DT6 6SG,South West,2023-01-26,,,0.0,30.3,6.8
142,33,604614,1995-02-17,100/300,2000,1362.64,5000000,FEMALE,JD,exec-managerial,cross-fit,wife,0,0,2015-01-21,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,YES,1,3,?,81360,6780,13560,61020,Suburu,Legacy,2009,Y,,,,,,,,DE56 2JB,East Midlands,2024-01-21,13.0,0.0,4.4,54.6,10.9
272,43,509928,1995-07-25,100/300,1000,1279.13,0,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,3,?,1,2,YES,81070,7370,14740,58960,Audi,A3,2006,Y,,,,,,,,ML9 2SA,,2023-02-06,,,,,
69,26,593390,2006-03-24,100/300,2000,924.72,0,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,NO,2,2,NO,63120,5260,10520,47340,Audi,A5,2008,N,,,,,,,,DT2 0GA,South West,2023-01-07,,,,,
38,28,970607,1995-03-28,250/500,1000,1019.44,0,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700,2015-02-10,Vehicle Theft,?,Trivial Damage,,17,1,?,2,1,NO,7200,1440,720,5040,BMW,X5,2004,N,YO61 1AA,Yorkshire and The Humber,0.0,0.0,1.1,13.7,8.3,ME9 8WL,South East,2023-02-10,,,,,
328,46,174701,1996-06-19,500/1000,500,1314.6,0,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0,2015-02-23,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,?,2,3,?,70290,12780,6390,51120,Saab,92x,1998,Y,,,,,,,,EX8 5DT,South West,2023-02-23,,,5.9,30.3,8.4
281,43,529398,1993-06-16,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,camping,other-relative,0,0,2015-01-09,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,NO,1,0,NO,60190,9260,9260,41670,BMW,X6,1999,N,,,,,,,,DT6 6SG,South West,2024-01-09,0.0,0.0,0.3,28.5,3.3
246,44,940942,2001-07-11,250/500,2000,1649.18,0,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600,2015-02-22,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,YES,1,2,YES,61380,11160,5580,44640,Honda,Civic,2009,Y,,,,,,,,RM12 4BG,London,2024-02-22,420.0,26.0,11.1,26.9,11.8
298,49,442677,2008-11-22,250/500,500,1451.01,0,FEMALE,College,other-service,exercise,own-child,47800,0,2015-02-21,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,NO,2,2,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,2012,N,,,,,,,,LU7 2QH,East of England,2023-02-21,,,0.1,14.7,10.4
330,50,365364,2002-12-28,500/1000,1000,978.46,0,FEMALE,High School,sales,yachting,husband,0,0,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,1,YES,0,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995,N,,,,,,,,NE9 7EY,North East,2024-02-04,144.0,1.0,0.3,36.6,12.6
362,50,114839,2006-01-01,250/500,500,1198.34,4000000,MALE,Associate,sales,board-games,wife,53000,-72500,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,?,1,1,NO,57060,6340,6340,44380,Mercedes,E400,1995,N,,,,,,,,WS1 4HS,West Midlands,2023-01-07,,,12.0,36.5,10.7
241,38,872734,1990-05-19,100/300,2000,1003.23,0,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,?,0,3,YES,77880,12980,12980,51920,Accura,MDX,2008,N,,,,,,,,BT56 8FW,,2024-01-17,42.0,1.0,4.8,14.3,1.7
245,41,267885,2013-08-26,500/1000,2000,1212.0,0,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,2015-01-28,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,YES,0,1,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,N,,,,,,,,DT6 6SG,South West,2023-01-28,,,0.0,12.2,6.3
371,52,740505,1997-10-12,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,paintball,own-child,0,-37100,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,YES,2,0,?,88920,6840,13680,68400,Accura,RSX,2010,N,,,,,,,,IM4 7JQ,,2023-02-22,,,,,
343,52,629663,2002-01-21,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,2015-02-16,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,?,0,2,NO,47630,12990,4330,30310,Toyota,Corolla,2005,Y,,,,,,,,RM12 4BG,London,2023-02-16,,,1.7,20.9,11.8
377,53,839884,1996-09-02,100/300,500,1693.63,0,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,59040,6560,6560,45920,Saab,93,2015,N,,,,,,,,DT2 0GA,South West,2023-02-17,,,0.0,25.0,12.5
154,37,241562,2010-01-28,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,Other,2,1,?,0,3,NO,79530,14460,7230,57840,Accura,MDX,2000,N,,,,,,,,DT2 0GA,South West,2023-01-09,,,1.1,27.2,6.6
166,34,405533,2014-10-03,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,2015-02-09,Single Vehicle Collision,Side Collision,Total Loss,Other,18,1,NO,0,2,YES,53680,4880,4880,43920,Honda,CRV,2005,N,GL54 1AA,South West,,,0.0,15.0,7.0,IM4 7JQ,,2024-02-09,,,,,
298,46,667021,2007-05-02,500/1000,1000,1138.42,6000000,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,2015-02-16,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,NO,2,3,YES,33550,3050,6100,24400,Volkswagen,Passat,2005,N,,,,,,,,BT56 8FW,,2024-02-16,41.0,1.0,0.2,11.4,11.4
235,42,511621,1990-09-22,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,2015-02-18,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,?,2,1,YES,69100,6910,6910,55280,Toyota,Highlander,2006,N,,,,,,,,NE9 7EY,North East,2023-02-18,,,6.0,35.4,12.1
172,35,476923,2004-09-19,100/300,2000,1219.04,0,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,?,2,0,NO,79750,14500,14500,50750,Nissan,Pathfinder,1999,N,,,,,,,,KT22 9AD,South East,2024-01-11,105.0,8.0,0.0,23.3,4.8
27,28,735822,1995-08-28,100/300,2000,1371.78,0,MALE,JD,farming-fishing,polo,other-relative,0,-32500,2015-02-04,Multi-vehicle Collision,Front Collision,Major Damage,Other,10,3,?,0,2,YES,53600,5360,10720,37520,Audi,A5,2015,Y,,,,,,,,NR18 9AN,East of England,2023-02-04,,,0.0,17.7,9.8
428,54,492745,2004-02-04,100/300,2000,1506.21,0,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,2015-01-22,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,NO,1,0,?,76560,12760,6380,57420,Nissan,Ultima,2009,N,,,,,,,,ME9 8WL,South East,2023-01-22,,,0.0,8.7,2.0
99,32,130930,2014-07-23,100/300,1000,1058.21,3000000,MALE,JD,craft-repair,golf,unmarried,0,0,2015-01-10,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,1,1,NO,41130,4570,4570,31990,Dodge,RAM,1999,N,,,,,,,,ME9 8WL,South East,2023-01-10,,,6.3,37.1,12.0
107,26,261119,1997-03-21,500/1000,2000,932.14,0,MALE,MD,sales,cross-fit,own-child,40600,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,NO,2,3,NO,78650,14300,7150,57200,Audi,A3,1996,Y,BN1 1AA,South East,1309.0,46.0,0.0,21.9,4.1,SN11 8UB,South West,2024-01-10,13.0,0.0,0.0,24.3,3.8
272,41,280709,1991-05-06,500/1000,2000,1608.34,0,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600,2015-02-16,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,?,1,1,?,71060,6460,12920,51680,Saab,92x,2010,N,S1 1AA,Yorkshire and The Humber,1104.0,75.0,3.7,20.8,11.8,G61 3LF,,2024-02-16,0.0,0.0,0.2,8.5,9.7
151,37,898573,1992-08-07,500/1000,1000,1728.56,0,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0,2015-02-08,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,YES,1,1,?,38830,3530,3530,31770,Suburu,Legacy,1999,N,S1 1AA,Yorkshire and The Humber,1104.0,75.0,16.3,22.4,2.4,RM12 4BG,London,2023-02-08,,,0.0,10.8,7.0
249,43,547802,2013-09-03,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,2015-01-26,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,1,?,0,0,YES,53500,5350,5350,42800,Saab,92x,2015,N,,,,,,,,PO19 6EU,South East,2023-01-26,,,0.0,27.4,6.9
177,38,600845,2012-01-05,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,2015-02-01,Single Vehicle Collision,Front Collision,Major Damage,Other,20,1,YES,2,0,NO,73700,7370,7370,58960,Chevrolet,Silverado,2001,Y,,,,,,,,KY15 7BA,,2023-02-01,,,1.1,26.4,7.2
190,40,390381,2007-01-27,500/1000,2000,965.21,0,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,2015-02-02,Parked Car,?,Trivial Damage,,10,1,?,2,1,YES,6300,630,630,5040,Nissan,Ultima,2001,N,,,,,,,,TA6 4ET,South West,2024-02-02,162.0,3.0,0.0,22.8,12.6
